Customer_ID,Age,Income,Customer_Years,Web_Visits,Web_Purchases,Store_Purchases,Catalog_Purchases,Wine_Spending,Fruit_Spending,Meat_Spending,Fish_Spending,Sweet_Spending,Gold_Spending,Children,Teenagers,Campaign_1,Campaign_2,Campaign_3,Campaign_4,Campaign_5,Pages_Viewed,Time_On_Website,Discount_Purchases,Complaints,Satisfaction,Loyalty_Points,Email_Opens,Email_Clicks,Mobile_Sessions,Returns,Delivery_Rating,Gender,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Family_Members,Total_Campaign_Acceptance,Digital_Engagement,Average_Spending_Per_Purchase,Customer_Value_Score,Discount_Rate,Cluster,Persona
10001,58,100629.5690596765,1,7,2,7,3,69.05880012919484,25.311163007577022,281.93848261674873,24.717624638111026,49.69222159491789,101.00272401264242,1,0,0,0,0,0,0,8,14.333370203422154,2,0,7.889968383117946,750.315531290481,8,6,9,0,4.242687039069472,Female,Postgraduate,Single,551.7210159991919,12,2,0,38,42.44007815378399,1103.4420319983838,0.15384615384615385,0,VIP High-Value Customers
10002,48,43194.514033267355,8,14,4,7,4,314.481094541558,27.223487150791136,31.592052704943168,12.072425801063435,21.60830201290883,93.8104797577026,1,1,0,1,0,0,0,16,8.49482561862396,3,1,10.0,117.41728679737628,8,4,14,1,4.819528099395079,Male,Graduate,Divorced,500.78784196896714,15,3,1,56,31.299240123060446,4507.0905777207045,0.1875,1,Loyal Regular Customers
10003,34,110127.65141259396,5,11,3,10,3,251.5002570277203,64.57178428103977,146.73899948347224,20.783612240614215,36.93845047445667,73.29271110435302,1,1,0,0,0,0,0,12,7.683059288757719,1,1,4.91377712534007,801.3234984799988,5,0,7,0,4.115963585170322,Female,Graduate,Single,593.8258146116561,16,3,0,35,34.930930271273894,3562.954887669937,0.058823529411764705,0,VIP High-Value Customers
10004,62,63280.33088381976,3,6,3,12,3,275.9349460291766,49.80453441004588,30.279267967999154,10.628138788731402,50.13814411550838,55.07656733624682,2,0,0,1,0,0,0,9,4.13211616557788,2,1,7.8515222670084,570.2204902171446,9,1,10,0,3.8025208952159897,Male,High School,Married,471.86159864770826,18,3,1,35,24.83482098145833,1887.446394590833,0.10526315789473684,1,Loyal Regular Customers
10005,27,20000.0,11,9,2,8,2,56.5400610703011,67.25185409471293,176.33594186197357,61.431746192392936,57.72056769563136,7.336082221723457,0,0,1,0,0,0,1,5,5.34222190118365,4,1,7.34262924250832,535.5783585377729,8,3,10,0,3.016933071482428,Female,Graduate,Married,426.6162531367354,12,1,2,35,32.81663485667195,5119.395037640825,0.3076923076923077,1,Loyal Regular Customers
10006,40,53060.3116805776,7,8,10,6,2,90.09141593664293,24.956843848587845,240.36934312857392,58.2291263510316,12.541505876699494,137.8903954316744,3,1,1,0,0,0,0,10,8.653712209831387,1,1,4.424074459579143,642.3541814638572,14,4,15,0,4.441978114748579,Male,Graduate,Single,564.0786305732101,18,5,1,51,29.688348977537377,4512.629044585681,0.05263157894736842,1,Loyal Regular Customers
10007,58,83947.89413884349,7,8,3,7,2,105.78149039922098,46.46648917676136,113.79136687011555,74.30657456419965,24.56866368824208,37.77346975149524,1,1,0,1,0,0,0,9,7.4434416054194354,5,1,8.889062902713032,596.7656068481608,6,3,7,0,2.8962406776042444,Female,High School,Divorced,402.6880544500349,12,3,1,33,30.976004188464223,3221.504435600279,0.38461538461538464,1,Loyal Regular Customers
10008,38,95987.70971249646,9,6,2,7,3,47.79919948713351,6.679242052318772,110.20183330061128,12.787320214109652,22.56945525919804,132.1043560909521,1,1,0,0,0,0,0,14,8.951242518806067,2,3,6.2344770109729994,323.9708204063222,6,3,7,2,5.0,Female,High School,Married,332.14140640432333,12,3,0,36,25.54933895417872,3321.4140640432333,0.15384615384615385,1,Loyal Regular Customers
10009,42,72925.7738685303,7,5,6,2,3,148.13186860125876,15.304943864828145,156.84904144995096,11.634865297690796,7.585638194919374,47.424997425965486,0,2,0,1,0,0,1,16,5.451081909602605,4,0,9.369649079623228,193.00942142152576,14,6,9,1,4.202627242296412,Female,Postgraduate,Single,386.93135483461356,11,3,2,50,32.24427956955113,3095.4508386769085,0.3333333333333333,1,Loyal Regular Customers
10010,30,88216.69957582142,13,7,4,6,3,65.72014271509636,10.586076475276423,120.02320332885543,10.56496562151679,37.60936553299358,58.77333989477743,1,0,1,0,0,0,0,7,4.906348521263769,2,3,6.25087093940687,0.0,10,2,12,0,4.3127668945623325,Male,High School,Married,303.277093568516,13,2,1,38,21.66264954060829,4245.879309959224,0.14285714285714285,1,Loyal Regular Customers
10011,30,38799.86025313764,11,5,6,11,2,123.47847237282116,58.051821810541774,131.72865649190703,16.199554750308664,40.77604760571471,55.78460921729086,1,0,1,1,0,0,0,10,6.329311878381512,1,1,6.780947589291339,720.3050815775906,9,5,8,2,3.680882022276649,Male,Postgraduate,Married,426.01916224858417,19,2,2,37,21.300958112429207,5112.22994698301,0.05,1,Loyal Regular Customers
10012,43,47755.29143050966,14,8,2,9,3,78.18087741591528,97.86902681436628,298.5255018209202,81.47713272540756,90.54606253978383,38.48499729580689,2,0,1,0,1,0,0,8,8.741846401320672,1,0,9.335726968604995,1041.279580234809,8,6,8,0,4.606710067521562,Female,Graduate,Married,685.0835986122,14,3,2,38,45.672239907480005,10276.253979183,0.06666666666666667,0,VIP High-Value Customers
10013,55,29769.73292396777,3,5,4,11,1,172.53269463734782,28.206791760135154,247.67772131612216,87.65580175464815,16.51016901605224,23.325396537057486,0,2,0,0,0,0,0,13,7.36905035746298,2,0,6.4956369727257455,369.01491416523766,8,5,8,2,2.662455936105296,Female,Graduate,Single,575.908575021363,16,3,0,39,33.87697500125665,2303.634300085452,0.11764705882352941,1,Loyal Regular Customers
10014,59,49108.86463214574,11,7,9,9,4,210.11659445235568,49.02704918763699,198.52367778462104,36.75947020871102,30.0403933789678,82.33358347288512,1,0,0,0,0,0,0,10,6.714477353998486,1,2,8.35612175155354,776.7258848656043,8,1,12,0,3.90996575831105,Female,Graduate,Divorced,606.8007684851777,22,2,0,38,26.382642108051208,7281.609221822133,0.043478260869565216,1,Loyal Regular Customers
10015,43,73714.54175584199,13,6,10,13,4,113.95881024590842,48.163576150022436,55.794786914939756,176.22069288872387,71.64921036690423,13.092047337440757,2,1,0,0,0,0,0,7,10.029016755972165,2,0,4.759292207641177,279.78224897156565,8,3,8,0,2.913111821355966,Female,High School,Single,478.87912390393944,27,4,0,32,17.102825853712122,6704.307734655153,0.07142857142857142,1,Loyal Regular Customers
10016,22,63827.80372289434,15,6,5,11,2,108.34570203806855,91.69983923271737,219.6149516148957,19.25277219086843,50.0410494205608,58.53438907172498,2,2,0,0,1,0,0,9,9.338581670027532,1,1,7.849668177083771,374.7395914988104,4,3,11,0,4.353668082780843,Female,Graduate,Single,547.4887035688358,18,5,1,33,28.81519492467557,8759.819257101373,0.05263157894736842,0,VIP High-Value Customers
10017,41,75621.28265993728,14,4,2,9,1,159.78774011571142,25.286174827910983,153.157184192619,30.650518622381263,111.4355732676109,22.766530471016548,2,0,0,0,0,0,0,9,9.358419060467737,3,0,8.24000007569616,814.9169168101089,7,3,12,1,3.3633911273928936,Male,High School,Divorced,503.0837214972501,12,3,0,35,38.69874780748078,7546.255822458752,0.23076923076923078,0,VIP High-Value Customers
10018,21,43142.74768505874,13,5,3,6,3,29.366653423544324,35.31742087733058,10.672799132970955,225.17228135057863,42.925524929422245,58.15816620324309,2,2,0,0,0,0,0,9,7.7714713343918165,3,0,9.107203733959,308.3222005035557,16,2,7,1,4.081030433297793,Female,Postgraduate,Married,401.61284591708977,12,5,0,39,30.893295839776137,5622.579842839257,0.23076923076923078,1,Loyal Regular Customers
10019,43,44240.549517386404,1,11,7,10,3,89.59992160713163,15.77674044492624,121.14145874703642,34.521502191341504,31.516751167031796,62.7199418217344,0,2,0,0,0,0,0,10,5.857338135075151,2,1,7.770416492951202,401.6715908471848,8,2,12,1,3.635606441426301,Female,Postgraduate,Single,355.2763159792019,20,3,0,43,16.917919808533423,710.5526319584038,0.09523809523809523,1,Loyal Regular Customers
10020,63,63682.98377144843,8,9,6,8,2,66.26899789744472,11.52718375098477,132.30822384949346,79.792267471952,21.348657279621914,82.90290604432508,0,1,0,0,0,1,0,10,4.2279940307735515,3,0,5.914474244453008,410.05632364253603,7,1,13,1,4.351192712298852,Male,Postgraduate,Single,394.1482362938219,16,2,1,40,23.18519037022482,3547.334126644397,0.17647058823529413,1,Loyal Regular Customers
10021,49,49152.33950450432,12,3,4,5,4,254.21329414291637,53.57038824762456,333.00063360416766,65.42989248487694,13.478785042308344,94.3742212074946,2,2,0,1,0,0,0,11,7.029244797196443,2,1,6.6113230714465505,441.0248408861703,4,5,7,1,4.231021373753614,Male,Postgraduate,Single,814.0672147293885,13,5,1,30,58.14765819495632,10582.87379148205,0.14285714285714285,0,VIP High-Value Customers
10022,57,83433.28502688171,3,8,2,7,4,409.025985688945,18.683479615707814,270.7043217253132,22.442340742657503,35.4598355619767,36.32391615565447,0,1,0,0,0,0,0,17,8.334691515734484,5,3,4.981707287210403,767.2661461838452,6,6,10,0,3.621414544219659,Female,Postgraduate,Single,792.6398794902547,13,2,0,47,56.6171342493039,3170.5595179610186,0.35714285714285715,0,VIP High-Value Customers
10023,21,48706.46008120541,12,3,7,2,2,49.0661880147144,19.555851196097315,130.8038654628404,209.0893095802839,23.881224217885162,21.898711142411543,3,1,0,0,0,0,0,15,10.61218001035811,1,0,6.603288752695375,202.346221469358,10,2,7,0,4.096696110227736,Female,High School,Married,454.29514961423274,11,5,0,37,37.857929134519395,5905.836944985025,0.08333333333333333,0,VIP High-Value Customers
10024,40,51082.993627237556,8,7,6,12,4,131.1534229724385,45.56853462593885,375.7824271328475,67.73440441770833,33.4974370941944,3.999490245399299,3,0,0,0,0,1,0,13,7.1381124106382305,3,0,7.377548600710243,404.4456751087825,10,4,7,2,3.294835155098096,Male,Postgraduate,Single,657.7357164885269,22,4,1,41,28.597205064718562,5919.621448396742,0.13043478260869565,1,Loyal Regular Customers
