Component,Explained_Variance,Cumulative_Variance
1,0.07122038004133906,0.07122038004133906
2,0.053336934135496165,0.12455731417683522
3,0.048315816437713,0.17287313061454823
4,0.04444562415588252,0.21731875477043075
5,0.04303748440994397,0.2603562391803747
6,0.03853688787808441,0.2988931270584591
7,0.03770579174886475,0.33659891880732384
8,0.03598597742093649,0.37258489622826035
9,0.030612346756627475,0.40319724298488785
10,0.029215350396015933,0.43241259338090376
11,0.02718546464396192,0.4595980580248657
12,0.027063625546166526,0.48666168357103223
13,0.02609286176936492,0.5127545453403971
14,0.025354216292364156,0.5381087616327612
15,0.0251741668152002,0.5632829284479615
16,0.02491576782133689,0.5881986962692983
17,0.024681763968679292,0.6128804602379776
18,0.023998064992577506,0.6368785252305551
19,0.023750742876217475,0.6606292681067726
20,0.023286787747131416,0.683916055853904
21,0.022707307746007665,0.7066233635999117
22,0.02222043976795256,0.7288438033678643
23,0.021701764270862792,0.750545567638727
24,0.02133570924363591,0.771881276882363
25,0.02112403550519802,0.793005312387561
26,0.020467564079338793,0.8134728764668998
27,0.020327654759396886,0.8338005312262967
28,0.019625798278469175,0.8534263295047659
29,0.019333838405030907,0.8727601679097968
30,0.01912209126897225,0.8918822591787691
31,0.01859931363314147,0.9104815728119106
32,0.018492501144776075,0.9289740739566866
33,0.017604476994008137,0.9465785509506948
34,0.017085327701980523,0.9636638786526753
35,0.016710128031936524,0.9803740066846118
36,0.010909065880512717,0.9912830725651246
37,0.0060378052829217505,0.9973208778480463
38,0.0013430850113066715,0.998663962859353
39,0.0006641050903616493,0.9993280679497146
40,0.0005864365370963155,0.999914504486811
41,8.433103710750319e-05,0.9999988355239184
42,1.1644760816850669e-06,1.0000000000000002
43,2.060706547435046e-18,1.0000000000000002
44,0.0,1.0000000000000002
45,0.0,1.0000000000000002
